"Date","Event","Favourite Wins","Underdog Wins"
"Jul 11 2020","UFC 251 | Links: 
                    UFC 251                   (https://www.betmma.tips/mma_event_betting_history.php?Event=608)",11,2
"Jul 15 2020","UFC Fight Island 1 | Links: 
                    UFC Fight Island 1                   (https://www.betmma.tips/mma_event_betting_history.php?Event=612)",7,4
"Jul 18 2020","UFC Fight Island 2 | Links: 
                    UFC Fight Island 2                   (https://www.betmma.tips/mma_event_betting_history.php?Event=611)",8,4
"Jul 25 2020","UFC Fight Island 3 | Links: 
                    UFC Fight Island 3                   (https://www.betmma.tips/mma_event_betting_history.php?Event=617)",12,3
"Aug 01 2020","UFC Vegas 5 | Links: 
                    UFC Vegas 5                   (https://www.betmma.tips/mma_event_betting_history.php?Event=613)",4,3
"Aug 08 2020","UFC Vegas 6 | Links: 
                    UFC Vegas 6                   (https://www.betmma.tips/mma_event_betting_history.php?Event=618)",10,2
"Aug 15 2020","UFC 252 | Links: 
                    UFC 252                   (https://www.betmma.tips/mma_event_betting_history.php?Event=614)",7,4
"Aug 22 2020","UFC Vegas 7 | Links: 
                    UFC Vegas 7                   (https://www.betmma.tips/mma_event_betting_history.php?Event=616)",4,4
"Aug 29 2020","UFC Fight Night 182 | Links: 
                    UFC Fight Night 182                   (https://www.betmma.tips/mma_event_betting_history.php?Event=619)",8,2
"Sep 05 2020","UFC Fight Night 183 | Links: 
                    UFC Fight Night 183                   (https://www.betmma.tips/mma_event_betting_history.php?Event=625)",5,2
"Sep 19 2020","UFC FN - Covington vs Woodley | Links: 
                    UFC FN - Covington vs Woodley                   (https://www.betmma.tips/mma_event_betting_history.php?Event=622)",10,2
"Sep 26 2020","UFC 253 | Links: 
                    UFC 253                   (https://www.betmma.tips/mma_event_betting_history.php?Event=615)",6,5
"Oct 04 2020","UFC FN - Holm vs Aldana | Links: 
                    UFC FN - Holm vs Aldana                   (https://www.betmma.tips/mma_event_betting_history.php?Event=643)",6,4
"Oct 17 2020","UFC FN - Ortega vs Zombie | Links: 
                    UFC FN - Ortega vs Zombie                   (https://www.betmma.tips/mma_event_betting_history.php?Event=632)",7,4
"Oct 24 2020","UFC 254 | Links: 
                    UFC 254                   (https://www.betmma.tips/mma_event_betting_history.php?Event=629)",10,1
"Oct 31 2020","UFC Vegas 12 | Links: 
                    UFC Vegas 12                   (https://www.betmma.tips/mma_event_betting_history.php?Event=639)",10,1
"Nov 08 2020","UFC Vegas 13 | Links: 
                    UFC Vegas 13                   (https://www.betmma.tips/mma_event_betting_history.php?Event=670)",7,3
"Nov 14 2020","UFC Vegas 14 | Links: 
                    UFC Vegas 14                   (https://www.betmma.tips/mma_event_betting_history.php?Event=671)",5,4
"Nov 21 2020","UFC 255 | Links: 
                    UFC 255                   (https://www.betmma.tips/mma_event_betting_history.php?Event=635)",8,4
"Nov 29 2020","UFC Vegas 15 | Links: 
                    UFC Vegas 15                   (https://www.betmma.tips/mma_event_betting_history.php?Event=651)",4,6
"Dec 06 2020","UFC Vegas 16 | Links: 
                    UFC Vegas 16                   (https://www.betmma.tips/mma_event_betting_history.php?Event=652)",7,1
"Dec 13 2020","UFC 256 | Links: 
                    UFC 256                   (https://www.betmma.tips/mma_event_betting_history.php?Event=653)",5,4
"Dec 19 2020","UFC Vegas 17 | Links: 
                    UFC Vegas 17                   (https://www.betmma.tips/mma_event_betting_history.php?Event=668)",6,6
"Jan 16 2021","UFC FN | Links: 
                    UFC FN                   (https://www.betmma.tips/mma_event_betting_history.php?Event=686)",6,4
"Jan 24 2021","UFC 257 | Links: 
                    UFC 257                   (https://www.betmma.tips/mma_event_betting_history.php?Event=683)",5,6
"Feb 06 2021","UFC FN | Links: 
                    UFC FN                   (https://www.betmma.tips/mma_event_betting_history.php?Event=694)",7,5
"Feb 20 2021","UFC Fight Night 185 | Links: 
                    UFC Fight Night 185                   (https://www.betmma.tips/mma_event_betting_history.php?Event=696)",7,5
"Feb 28 2021","UFC Fight Night 186 | Links: 
                    UFC Fight Night 186                   (https://www.betmma.tips/mma_event_betting_history.php?Event=700)",5,3
"Mar 06 2021","UFC 259 | Links: 
                    UFC 259                   (https://www.betmma.tips/mma_event_betting_history.php?Event=698)",8,7
"Mar 28 2021","UFC 260 | Links: 
                    UFC 260                   (https://www.betmma.tips/mma_event_betting_history.php?Event=704)",9,1
"May 01 2021","UFC FN | Links: 
                    UFC FN                   (https://www.betmma.tips/mma_event_betting_history.php?Event=721)",6,3
"May 15 2021","UFC 262 | Links: 
                    UFC 262                   (https://www.betmma.tips/mma_event_betting_history.php?Event=723)",6,6
